nth vaddr       bind type lib                                  name
74  0x1400ad4d8 NONE FUNC MSVCP140.dll                         ??0?$basic_istream@DU?$char_traits@D@std@@@std@@QEAA@PEAV?$basic_streambuf@DU?$char_traits@D@std@@@1@_N@Z
75  0x1400ad4e0 NONE FUNC MSVCP140.dll                         ?flush@?$basic_ostream@DU?$char_traits@D@std@@@std@@QEAAAEAV12@XZ
76  0x1400ad4e8 NONE FUNC MSVCP140.dll                         ?write@?$basic_ostream@DU?$char_traits@D@std@@@std@@QEAAAEAV12@PEBD_J@Z
77  0x1400ad4f0 NONE FUNC MSVCP140.dll                         ?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QEAAXXZ
78  0x1400ad4f8 NONE FUNC MSVCP140.dll                         ??1?$basic_ostream@DU?$char_traits@D@std@@@std@@UEAA@XZ
79  0x1400ad500 NONE FUNC MSVCP140.dll                         ??0?$basic_ostream@DU?$char_traits@D@std@@@std@@QEAA@PEAV?$basic_streambuf@DU?$char_traits@D@std@@@1@_N@Z
80  0x1400ad508 NONE FUNC MSVCP140.dll                         ??0?$basic_ios@DU?$char_traits@D@std@@@std@@IEAA@XZ
81  0x1400ad510 NONE FUNC MSVCP140.dll                         ?widen@?$basic_ios@DU?$char_traits@D@std@@@std@@QEBADD@Z
82  0x1400ad518 NONE FUNC MSVCP140.dll                         ?fill@?$basic_ios@DU?$char_traits@D@std@@@std@@QEBADXZ
83  0x1400ad520 NONE FUNC MSVCP140.dll                         ?rdbuf@?$basic_ios@DU?$char_traits@D@std@@@std@@QEBAPEAV?$basic_streambuf@DU?$char_traits@D@std@@@2@XZ
84  0x1400ad528 NONE FUNC MSVCP140.dll                         ?tie@?$basic_ios@DU?$char_traits@D@std@@@std@@QEBAPEAV?$basic_ostream@DU?$char_traits@D@std@@@2@XZ
85  0x1400ad530 NONE FUNC MSVCP140.dll                         ?setstate@?$basic_ios@DU?$char_traits@D@std@@@std@@QEAAXH_N@Z
