nth   paddr      vaddr       len  size section type    string
11917 0x000b2468 0x1400b3268 12   13   .rdata  ascii   ##Background
11918 0x000b2478 0x1400b3278 12   13   .rdata  ascii   ##Foreground
11919 0x000b2490 0x1400b3290 52   106  .rdata  utf16le g.MovingWindow && g.MovingWindow->RootWindowDockTree
11920 0x000b2500 0x1400b3300 105  212  .rdata  utf16le g.HoveredWindow == 0 || g.HoveredWindow == g.MovingWindow || g.HoveredWindow->Viewport == g.MouseViewport
11921 0x000b25e0 0x1400b33e0 67   68   .rdata  ascii   NewFrame(): ClearActiveID() because it isn't marked alive anymore!\n
11922 0x000b2628 0x1400b3428 23   24   .rdata  ascii   ##DragDropCancelHandler
11923 0x000b2640 0x1400b3440 42   86   .rdata  utf16le g.WindowsFocusOrder.Size <= g.Windows.Size
11924 0x000b26a0 0x1400b34a0 66   67   .rdata  ascii   (Debug Log: Auto-disabled some ImGuiDebugLogFlags after 2 frames)\n
11925 0x000b26e8 0x1400b34e8 14   15   .rdata  ascii   Debug##Default
11926 0x000b2700 0x1400b3500 41   84   .rdata  utf16le g.CurrentWindow->IsFallbackWindow == true
11927 0x000b2758 0x1400b3558 13   28   .rdata  utf16le viewport != 0
11928 0x000b2778 0x1400b3578 18   38   .rdata  utf16le cmd.ElemCount == 0
11929 0x000b27a0 0x1400b35a0 13   28   .rdata  utf16le g.Initialized
11930 0x000b27c0 0x1400b35c0 33   34   .rdata  ascii   Forgot to call ImGui::NewFrame()?
11931 0x000b27f0 0x1400b35f0 59   120  .rdata  utf16le (g.WithinFrameScope) && "Forgot to call ImGui::NewFrame()?"
11932 0x000b2870 0x1400b3670 96   97   .rdata  ascii   [io] Calling Platform_SetImeDataFn(): WantVisible: %d, InputPos (%.2f,%.2f) for Viewport 0x%08X\n
11933 0x000b28e0 0x1400b36e0 46   94   .rdata  utf16le g.Windows.Size == g.WindowsTempSortBuffer.Size
11934 0x000b2940 0x1400b3740 52   106  .rdata  utf16le draw_data->CmdLists.Size == draw_data->CmdListsCount
11935 0x000b29b0 0x1400b37b0 16   34   .rdata  utf16le window->Viewport
11936 0x000b29d8 0x1400b37d8 15   32   .rdata  utf16le g.ActiveId != 0
11937 0x000b29f8 0x1400b37f8 7    16   .rdata  utf16le id != 0
11938 0x000b2a10 0x1400b3810 153  308  .rdata  utf16le (child_flags & ~ImGuiChildFlags_SupportedMask_) == 0 && "Illegal ImGuiChildFlags value. Did you pass ImGuiWindowFlags values instead of ImGuiChildFlags?"
11939 0x000b2b50 0x1400b3950 165  332  .rdata  utf16le (window_flags & ImGuiWindowFlags_AlwaysAutoResize) == 0 && "Cannot specify ImGuiWindowFlags_AlwaysAutoResize for BeginChild(). Use ImGuiChildFlags_AlwaysAutoResize!"
11940 0x000b2ca0 0x1400b3aa0 178  358  .rdata  utf16le (child_flags & (ImGuiChildFlags_ResizeX | ImGuiChildFlags_ResizeY)) == 0 && "Cannot use ImGuiChildFlags_ResizeX or ImGuiChildFlags_ResizeY with ImGuiChildFlags_AlwaysAutoResize!"
11941 0x000b2e10 0x1400b3c10 192  386  .rdata  utf16le (child_flags & (ImGuiChildFlags_AutoResizeX | ImGuiChildFlags_AutoResizeY)) != 0 && "Must use ImGuiChildFlags_AutoResizeX or ImGuiChildFlags_AutoResizeY with ImGuiChildFlags_AlwaysAutoResize!"
11942 0x000b2f98 0x1400b3d98 10   11   .rdata  ascii   %s/%s_%08X
11943 0x000b2fa8 0x1400b3da8 7    8    .rdata  ascii   %s/%08X
11944 0x000b2fb0 0x1400b3db0 7    8    .rdata  ascii   ##Child
11945 0x000b2fc0 0x1400b3dc0 50   102  .rdata  utf16le child_window->Flags & ImGuiWindowFlags_ChildWindow
11946 0x000b3028 0x1400b3e28 7    8    .rdata  ascii   #RESIZE
11947 0x000b3030 0x1400b3e30 23   48   .rdata  utf16le window->BeginCount == 0
11948 0x000b3060 0x1400b3e60 9    10   .rdata  ascii   _IMWINDOW
11949 0x000b3070 0x1400b3e70 7    8    .rdata  ascii   #UNHIDE
11950 0x000b3078 0x1400b3e78 6    7    .rdata  ascii   #CLOSE
11951 0x000b3080 0x1400b3e80 43   88   .rdata  utf16le window->RootWindowForNav->ParentWindow != 0
11952 0x000b30d8 0x1400b3ed8 28   58   .rdata  utf16le name != 0 && name[0] != '\0'
11953 0x000b3118 0x1400b3f18 18   38   .rdata  utf16le g.WithinFrameScope
11954 0x000b3140 0x1400b3f40 33   68   .rdata  utf16le g.FrameCountEnded != g.FrameCount
11955 0x000b3190 0x1400b3f90 52   106  .rdata  utf16le window->DockNode == 0 || window->DockNodeAsHost == 0
11956 0x000b3200 0x1400b4000 21   44   .rdata  utf16le window->DockNode != 0
11957 0x000b3230 0x1400b4030 61   124  .rdata  utf16le parent_window != 0 || !(flags & ImGuiWindowFlags_ChildWindow)
11958 0x000b32b0 0x1400b40b0 38   78   .rdata  utf16le window->ParentWindowForFocusRoute != 0
11959 0x000b3300 0x1400b4100 38   78   .rdata  utf16le parent_window && parent_window->Active
11960 0x000b3350 0x1400b4150 86   174  .rdata  utf16le window->DrawList->CmdBuffer.Size == 1 && window->DrawList->CmdBuffer[0].ElemCount == 0
11961 0x000b3400 0x1400b4200 54   55   .rdata  ascii   [viewport] Window '%s' closed by PlatformRequestClose\n
11962 0x000b3438 0x1400b4238 5    6    .rdata  ascii   %.*s\n
11963 0x000b3440 0x1400b4240 66   134  .rdata  utf16le (flags & ImGuiWindowFlags_NoTitleBar) != 0 || window->DockIsActive
11964 0x000b34c8 0x1400b42c8 29   30   .rdata  ascii   Calling End() too many times!
11965 0x000b34f0 0x1400b42f0 66   134  .rdata  utf16le (g.CurrentWindowStack.Size > 1) && "Calling End() too many times!"
11966 0x000b3578 0x1400b4378 35   36   .rdata  ascii   Must call EndChild() and not End()!
11967 0x000b35a0 0x1400b43a0 75   152  .rdata  utf16le (g.WithinEndChildID == window->ID) && "Must call EndChild() and not End()!"
11968 0x000b3638 0x1400b4438 21   44   .rdata  utf16le window->DrawList == 0
11969 0x000b3670 0x1400b4470 37   76   .rdata  utf16le item_flags == g.ItemFlagsStack.back()
11970 0x000b36c0 0x1400b44c0 37   38   .rdata  ascii   Calling PopItemFlag() too many times!
11971 0x000b36f0 0x1400b44f0 70   142  .rdata  utf16le (g.ItemFlagsStack.Size > 1) && "Calling PopItemFlag() too many times!"
11972 0x000b3780 0x1400b4580 37   38   .rdata  ascii   Calling EndDisabled() too many times!
11973 0x000b37b0 0x1400b45b0 68   138  .rdata  utf16le (g.DisabledStackSize > 0) && "Calling EndDisabled() too many times!"
11974 0x000b3840 0x1400b4640 44   90   .rdata  utf16le g.CurrentItemFlags & ImGuiItemFlags_Disabled
11975 0x000b38a0 0x1400b46a0 23   48   .rdata  utf16le g.DisabledStackSize > 0
11976 0x000b38d0 0x1400b46d0 36   37   .rdata  ascii   Invalid flags for IsWindowHovered()!
11977 0x000b3900 0x1400b4700 107  216  .rdata  utf16le ((flags & ~ImGuiHoveredFlags_AllowedMaskForIsWindowHovered) == 0) && "Invalid flags for IsWindowHovered()!"
11978 0x000b39d8 0x1400b47d8 10   22   .rdata  utf16le cur_window
11979 0x000b39f0 0x1400b47f0 33   68   .rdata  utf16le cond == 0 || ImIsPowerOfTwo(cond)
11980 0x000b3a38 0x1400b4838 30   62   .rdata  utf16le window->HitTestHoleSize.x == 0
11981 0x000b3a80 0x1400b4880 88   178  .rdata  utf16le (window_class->ViewportFlagsOverrideSet & window_class->ViewportFlagsOverrideClear) == 0
11982 0x000b3b38 0x1400b4938 39   40   .rdata  ascii   Calling PopFocusScope() too many times!
11983 0x000b3b60 0x1400b4960 130  262  .rdata  utf16le (g.FocusScopeStack.Size > g.StackSizesInBeginForCurrentWindow->SizeOfFocusScopeStack) && "Calling PopFocusScope() too many times!"
11984 0x000b3c68 0x1400b4a68 16   34   .rdata  utf16le g.NavWindow != 0
11985 0x000b3c90 0x1400b4a90 26   54   .rdata  utf16le g.NavFocusRoute.Size < 100
11986 0x000b3cd0 0x1400b4ad0 55   112  .rdata  utf16le atlas->Builder != 0 && atlas->Builder->FrameCount != -1
11987 0x000b3d40 0x1400b4b40 42   86   .rdata  utf16le atlas->RendererHasTextures == has_textures
11988 0x000b3d98 0x1400b4b98 18   38   .rdata  utf16le g.Font->IsLoaded()
11989 0x000b3dc0 0x1400b4bc0 19   40   .rdata  utf16le atlas == g.IO.Fonts
11990 0x000b3de8 0x1400b4be8 19   40   .rdata  utf16le atlas->RefCount > 0
11991 0x000b3e10 0x1400b4c10 24   50   .rdata  utf16le font && font->IsLoaded()
11992 0x000b3e48 0x1400b4c48 18   38   .rdata  utf16le font->Scale > 0.0f
11993 0x000b3e70 0x1400b4c70 33   34   .rdata  ascii   Calling PopFont() too many times!
11994 0x000b3ea0 0x1400b4ca0 61   124  .rdata  utf16le (g.FontStack.Size > 0) && "Calling PopFont() too many times!"
11995 0x000b3f20 0x1400b4d20 31   32   .rdata  ascii   Calling PopID() too many times!
11996 0x000b3f40 0x1400b4d40 63   128  .rdata  utf16le (window->IDStack.Size > 1) && "Calling PopID() too many times!"
11997 0x000b3fc0 0x1400b4dc0 118  238  .rdata  utf16le IsNamedKey(key) && "Support for user key indices was dropped in favor of ImGuiKey. Please update backend & user code."
11998 0x000b40b0 0x1400b4eb0 4    5    .rdata  ascii   None
11999 0x000b40c0 0x1400b4ec0 125  252  .rdata  utf16le IsNamedKeyOrMod(key) && "Support for user key indices was dropped in favor of ImGuiKey. Please update backend and user code."
12000 0x000b41bc 0x1400b4fbc 6    7    .rdata  ascii   Super+
12001 0x000b41c4 0x1400b4fc4 4    5    .rdata  ascii   Alt+
12002 0x000b41cc 0x1400b4fcc 6    7    .rdata  ascii   Shift+
12003 0x000b41d4 0x1400b4fd4 5    6    .rdata  ascii   Ctrl+
12004 0x000b41e0 0x1400b4fe0 10   11   .rdata  ascii   %s%s%s%s%s
12005 0x000b41f0 0x1400b4ff0 54   110  .rdata  utf16le ImIsPowerOfTwo(flags & ImGuiInputFlags_RouteTypeMask_)
12006 0x000b4260 0x1400b5060 53   108  .rdata  utf16le owner_id != ((ImGuiID)0) && owner_id != ((ImGuiID)-1)
12007 0x000b42d0 0x1400b50d0 35   72   .rdata  utf16le flags & ImGuiInputFlags_RouteGlobal
12008 0x000b4320 0x1400b5120 68   138  .rdata  utf16le flags & (ImGuiInputFlags_RouteGlobal | ImGuiInputFlags_RouteFocused)
12009 0x000b43b0 0x1400b51b0 75   76   .rdata  ascii   SetShortcutRouting(%s, flags=%04X, owner_id=0x%08X) -> always, no register\n
12010 0x000b4400 0x1400b5200 88   89   .rdata  ascii   SetShortcutRouting(%s, flags=%04X, owner_id=0x%08X) -> filtered as potential char input\n
12011 0x000b4460 0x1400b5260 64   65   .rdata  ascii   SetShortcutRouting(%s, flags=%04X, owner_id=0x%08X) -> score %d\n
12012 0x000b44a8 0x1400b52a8 27   28   .rdata  ascii   --> granting current route\n
12013 0x000b44d0 0x1400b52d0 55   112  .rdata  utf16le (flags & ~ImGuiInputFlags_SupportedByIsKeyPressed) == 0
12014 0x000b4540 0x1400b5340 83   168  .rdata  utf16le button >= 0 && button < ((int)(sizeof(g.IO.MouseDown) / sizeof(*(g.IO.MouseDown))))
12015 0x000b45f0 0x1400b53f0 57   116  .rdata  utf16le (flags & ~ImGuiInputFlags_SupportedByIsMouseClicked) == 0
12016 0x000b4668 0x1400b5468 11   24   .rdata  utf16le GImGui != 0
12017 0x000b4680 0x1400b5480 4    5    .rdata  ascii   NULL
12018 0x000b4688 0x1400b5488 31   32   .rdata  ascii   [io] LockWheelingWindow() "%s"\n
12019 0x000b46a8 0x1400b54a8 5    6    .rdata  ascii   Mouse
12020 0x000b46b0 0x1400b54b0 11   12   .rdata  ascii   TouchScreen
12021 0x000b46c0 0x1400b54c0 39   40   .rdata  ascii   [io] %s: MousePos (-FLT_MAX, -FLT_MAX)\n
12022 0x000b46e8 0x1400b54e8 36   37   .rdata  ascii   [io] %s: MousePos (%.1f, %.1f) (%s)\n
12023 0x000b4710 0x1400b5510 4    5    .rdata  ascii   Down
12024 0x000b4720 0x1400b5520 32   33   .rdata  ascii   [io] %s: MouseButton %d %s (%s)\n
12025 0x000b4748 0x1400b5548 38   39   .rdata  ascii   [io] %s: MouseWheel (%.3f, %.3f) (%s)\n
12026 0x000b4770 0x1400b5570 32   33   .rdata  ascii   [io] %s: MouseViewport (0x%08X)\n
12027 0x000b4798 0x1400b5598 21   22   .rdata  ascii   [io] %s: Key "%s" %s\n
12028 0x000b47b0 0x1400b55b0 29   30   .rdata  ascii   [io] %s: Text: '%s' (U+%08X)\n
12029 0x000b47d0 0x1400b55d0 23   24   .rdata  ascii   [io] %s: AppFocused %d\n
12030 0x000b47e8 0x1400b55e8 20   42   .rdata  utf16le key != ImGuiKey_None
12031 0x000b4818 0x1400b5618 21   44   .rdata  utf16le 0 && "Unknown event!"
12032 0x000b4848 0x1400b5648 9    10   .rdata  ascii   Processed
12033 0x000b4858 0x1400b5658 9    10   .rdata  ascii   Remaining
12034 0x000b4870 0x1400b5670 130  262  .rdata  utf16le IsNamedKeyOrMod(key) && (owner_id != ((ImGuiID)0) || (flags & (ImGuiInputFlags_LockThisFrame | ImGuiInputFlags_LockUntilRelease)))
12035 0x000b4980 0x1400b5780 54   110  .rdata  utf16le (flags & ~ImGuiInputFlags_SupportedBySetKeyOwner) == 0
12036 0x000b49f0 0x1400b57f0 62   126  .rdata  utf16le (flags & ~ImGuiInputFlags_SupportedBySetNextItemShortcut) == 0
12037 0x000b4a70 0x1400b5870 51   104  .rdata  utf16le (flags & ~ImGuiInputFlags_SupportedByShortcut) == 0
12038 0x000b4ae0 0x1400b58e0 66   134  .rdata  utf16le strcmp(version, "1.92.7 WIP") == 0 && "Mismatched version string!"
12039 0x000b4b70 0x1400b5970 55   112  .rdata  utf16le sz_io == sizeof(ImGuiIO) && "Mismatched struct layout!"
12040 0x000b4be0 0x1400b59e0 61   124  .rdata  utf16le sz_style == sizeof(ImGuiStyle) && "Mismatched struct layout!"
12041 0x000b4c60 0x1400b5a60 56   114  .rdata  utf16le sz_vec2 == sizeof(ImVec2) && "Mismatched struct layout!"
12042 0x000b4ce0 0x1400b5ae0 56   114  .rdata  utf16le sz_vec4 == sizeof(ImVec4) && "Mismatched struct layout!"
12043 0x000b4d60 0x1400b5b60 60   122  .rdata  utf16le sz_vert == sizeof(ImDrawVert) && "Mismatched struct layout!"
12044 0x000b4de0 0x1400b5be0 58   118  .rdata  utf16le sz_idx == sizeof(ImDrawIdx) && "Mismatched struct layout!"
12045 0x000b4e58 0x1400b5c58 19   40   .rdata  utf16le window->DC.IsSetPos
12046 0x000b4e80 0x1400b5c80 170  171  .rdata  ascii   Code uses SetCursorPos()/SetCursorScreenPos() to extend window/parent boundaries.\nPlease submit an item e.g. Dummy() afterwards in order to grow window/parent boundaries.
12047 0x000b4f30 0x1400b5d30 180  362  .rdata  utf16le (0) && "Code uses SetCursorPos()/SetCursorScreenPos() to extend window/parent boundaries.\nPlease submit an item e.g. Dummy() afterwards in order to grow window/parent boundaries."
12048 0x000b50a0 0x1400b5ea0 76   154  .rdata  utf16le (g.IO.DeltaTime > 0.0f || g.FrameCount == 0) && "Need a positive DeltaTime!"
12049 0x000b5140 0x1400b5f40 133  268  .rdata  utf16le (g.FrameCount == 0 || g.FrameCountEnded == g.FrameCount) && "Forgot to call Render() or EndFrame() at the end of the previous frame?"
12050 0x000b5250 0x1400b6050 88   178  .rdata  utf16le g.IO.DisplaySize.x >= 0.0f && g.IO.DisplaySize.y >= 0.0f && "Invalid DisplaySize value!"
12051 0x000b5310 0x1400b6110 63   128  .rdata  utf16le g.Style.CurveTessellationTol > 0.0f && "Invalid style setting!"
12052 0x000b5390 0x1400b6190 69   140  .rdata  utf16le g.Style.CircleTessellationMaxError > 0.0f && "Invalid style setting!"
12053 0x000b5420 0x1400b6220 74   150  .rdata  utf16le g.Style.Alpha >= 0.0f && g.Style.Alpha <= 1.0f && "Invalid style setting!"
12054 0x000b54c0 0x1400b62c0 94   190  .rdata  utf16le g.Style.WindowMinSize.x >= 1.0f && g.Style.WindowMinSize.y >= 1.0f && "Invalid style setting!"
12055 0x000b5580 0x1400b6380 67   136  .rdata  utf16le g.Style.WindowBorderHoverPadding > 0.0f && "Invalid style setting!"
12056 0x000b5610 0x1400b6410 156  314  .rdata  utf16le g.Style.WindowMenuButtonPosition == ImGuiDir_None || g.Style.WindowMenuButtonPosition == ImGuiDir_Left || g.Style.WindowMenuButtonPosition == ImGuiDir_Right
12057 0x000b5750 0x1400b6550 93   188  .rdata  utf16le g.Style.ColorButtonPosition == ImGuiDir_Left || g.Style.ColorButtonPosition == ImGuiDir_Right
12058 0x000b5810 0x1400b6610 185  372  .rdata  utf16le g.Style.TreeLinesFlags == ImGuiTreeNodeFlags_DrawLinesNone || g.Style.TreeLinesFlags == ImGuiTreeNodeFlags_DrawLinesFull || g.Style.TreeLinesFlags == ImGuiTreeNodeFlags_DrawLinesToNodes
12059 0x000b5990 0x1400b6790 143  288  .rdata  utf16le g.IO.ConfigErrorRecoveryEnableAssert || g.IO.ConfigErrorRecoveryEnableDebugLog || g.IO.ConfigErrorRecoveryEnableTooltip || g.ErrorCallback != 0
12060 0x000b5ab0 0x1400b68b0 103  208  .rdata  utf16le g.Style.FontScaleMain == 1.0f && "Since 1.92: use style.FontScaleMain instead of g.IO.FontGlobalScale!"
12061 0x000b5b80 0x1400b6980 112  226  .rdata  utf16le 0 && "Please set DockingEnable before the first call to NewFrame()! Otherwise you will lose your .ini settings!"
12062 0x000b5c70 0x1400b6a70 114  230  .rdata  utf16le 0 && "Please set ViewportsEnable before the first call to NewFrame()! Otherwise you will lose your .ini settings!"
12063 0x000b5d60 0x1400b6b60 183  368  .rdata  utf16le (g.FrameCount == 0 || g.FrameCount == g.FrameCountPlatformEnded) && "Forgot to call UpdatePlatformWindows() in main loop after EndFrame()? Check examples/ applications for reference."
12064 0x000b5ed0 0x1400b6cd0 83   168  .rdata  utf16le g.PlatformIO.Platform_CreateWindow != 0 && "Platform init didn't install handlers?"
12065 0x000b5f80 0x1400b6d80 84   170  .rdata  utf16le g.PlatformIO.Platform_DestroyWindow != 0 && "Platform init didn't install handlers?"
12066 0x000b6030 0x1400b6e30 83   168  .rdata  utf16le g.PlatformIO.Platform_GetWindowPos != 0 && "Platform init didn't install handlers?"
12067 0x000b60e0 0x1400b6ee0 83   168  .rdata  utf16le g.PlatformIO.Platform_SetWindowPos != 0 && "Platform init didn't install handlers?"
12068 0x000b6190 0x1400b6f90 84   170  .rdata  utf16le g.PlatformIO.Platform_GetWindowSize != 0 && "Platform init didn't install handlers?"
12069 0x000b6240 0x1400b7040 84   170  .rdata  utf16le g.PlatformIO.Platform_SetWindowSize != 0 && "Platform init didn't install handlers?"
12070 0x000b62f0 0x1400b70f0 77   156  .rdata  utf16le g.PlatformIO.Monitors.Size > 0 && "Platform init didn't setup Monitors list?"
12071 0x000b6390 0x1400b7190 125  252  .rdata  utf16le (g.Viewports[0]->PlatformUserData != 0 || g.Viewports[0]->PlatformHandle != 0) && "Platform init didn't setup main viewport."
12072 0x000b6490 0x1400b7290 126  254  .rdata  utf16le g.PlatformIO.Platform_SetWindowAlpha != 0 && "Platform_SetWindowAlpha handler is required to use io.ConfigDockingTransparent!"
12073 0x000b6590 0x1400b7390 91   184  .rdata  utf16le mon.MainSize.x > 0.0f && mon.MainSize.y > 0.0f && "Monitor main bounds not setup properly."
12074 0x000b6650 0x1400b7450 229  460  .rdata  utf16le ImRect(mon.MainPos, mon.MainPos + mon.MainSize).Contains(ImRect(mon.WorkPos, mon.WorkPos + mon.WorkSize)) && "Monitor work bounds not setup properly. If you don't have work area information, just copy MainPos/MainSize into them."
12075 0x000b6820 0x1400b7620 77   156  .rdata  utf16le mon.DpiScale > 0.0f && mon.DpiScale < 99.0f && "Monitor DpiScale is invalid."
12076 0x000b68c0 0x1400b76c0 119  240  .rdata  utf16le (key_mods == 0 || g.IO.KeyMods == key_mods) && "Mismatching io.KeyCtrl/io.KeyShift/io.KeyAlt/io.KeySuper vs io.KeyMods"
12077 0x000b69b0 0x1400b77b0 30   62   .rdata  utf16le g.CurrentWindowStack.Size == 1
12078 0x000b69f0 0x1400b77f0 48   98   .rdata  utf16le g.CurrentWindowStack[0].Window->IsFallbackWindow
12079 0x000b6a58 0x1400b7858 18   19   .rdata  ascii   Missing EndTable()
12080 0x000b6a70 0x1400b7870 27   56   .rdata  utf16le (0) && "Missing EndTable()"
12081 0x000b6aa8 0x1400b78a8 18   19   .rdata  ascii   Missing EndChild()
12082 0x000b6ac0 0x1400b78c0 27   56   .rdata  utf16le (0) && "Missing EndChild()"
12083 0x000b6af8 0x1400b78f8 13   14   .rdata  ascii   Missing End()
12084 0x000b6b08 0x1400b7908 22   46   .rdata  utf16le (0) && "Missing End()"
12085 0x000b6b38 0x1400b7938 19   20   .rdata  ascii   Missing EndTabBar()
12086 0x000b6b50 0x1400b7950 28   58   .rdata  utf16le (0) && "Missing EndTabBar()"
12087 0x000b6b90 0x1400b7990 24   25   .rdata  ascii   Missing EndMultiSelect()
12088 0x000b6bb0 0x1400b79b0 33   68   .rdata  utf16le (0) && "Missing EndMultiSelect()"
12089 0x000b6bf8 0x1400b79f8 20   21   .rdata  ascii   Missing EndMenuBar()
12090 0x000b6c10 0x1400b7a10 29   60   .rdata  utf16le (0) && "Missing EndMenuBar()"
12091 0x000b6c50 0x1400b7a50 17   18   .rdata  ascii   Missing TreePop()
12092 0x000b6c68 0x1400b7a68 26   54   .rdata  utf16le (0) && "Missing TreePop()"
12093 0x000b6ca0 0x1400b7aa0 18   19   .rdata  ascii   Missing EndGroup()
12094 0x000b6cb8 0x1400b7ab8 27   56   .rdata  utf16le (0) && "Missing EndGroup()"
12095 0x000b6cf0 0x1400b7af0 47   96   .rdata  utf16le g.GroupStack.Size == state_in->SizeOfGroupStack
12096 0x000b6d50 0x1400b7b50 15   16   .rdata  ascii   Missing PopID()
12097 0x000b6d60 0x1400b7b60 24   50   .rdata  utf16le (0) && "Missing PopID()"
12098 0x000b6d98 0x1400b7b98 21   22   .rdata  ascii   Missing EndDisabled()
12099 0x000b6db0 0x1400b7bb0 30   62   .rdata  utf16le (0) && "Missing EndDisabled()"
12100 0x000b6df0 0x1400b7bf0 52   106  .rdata  utf16le g.DisabledStackSize == state_in->SizeOfDisabledStack
12101 0x000b6e60 0x1400b7c60 23   24   .rdata  ascii   Missing PopStyleColor()
12102 0x000b6e80 0x1400b7c80 32   66   .rdata  utf16le (0) && "Missing PopStyleColor()"
12103 0x000b6ec8 0x1400b7cc8 21   22   .rdata  ascii   Missing PopItemFlag()
12104 0x000b6ee0 0x1400b7ce0 30   62   .rdata  utf16le (0) && "Missing PopItemFlag()"
12105 0x000b6f20 0x1400b7d20 21   22   .rdata  ascii   Missing PopStyleVar()
12106 0x000b6f38 0x1400b7d38 30   62   .rdata  utf16le (0) && "Missing PopStyleVar()"
12107 0x000b6f78 0x1400b7d78 17   18   .rdata  ascii   Missing PopFont()
12108 0x000b6f90 0x1400b7d90 26   54   .rdata  utf16le (0) && "Missing PopFont()"
12109 0x000b6fc8 0x1400b7dc8 23   24   .rdata  ascii   Missing PopFocusScope()
12110 0x000b6fe0 0x1400b7de0 32   66   .rdata  utf16le (0) && "Missing PopFocusScope()"
12111 0x000b7030 0x1400b7e30 64   65   .rdata  ascii   [imgui-error] (current settings: Assert=%d, Log=%d, Tooltip=%d)\n
12112 0x000b7078 0x1400b7e78 33   34   .rdata  ascii   [imgui-error] In window '%s': %s\n
12113 0x000b70a0 0x1400b7ea0 18   19   .rdata  ascii   In window '%s': %s
12114 0x000b70b8 0x1400b7eb8 17   18   .rdata  ascii   (and more errors)
12115 0x000b70d0 0x1400b7ed0 55   56   .rdata  ascii   Programmer error: %d visible items with conflicting ID!
12116 0x000b7110 0x1400b7f10 86   87   .rdata  ascii   Code should use PushID()/PopID() in loops, or append "##xx" to same-label identifiers!
12117 0x000b7170 0x1400b7f70 89   90   .rdata  ascii   Empty label e.g. Button("") == same ID as parent widget/node. Use Button("##xx") instead!
12118 0x000b71d0 0x1400b7fd0 95   96   .rdata  ascii   Set io.ConfigDebugHighlightIdConflicts=false to disable this warning in non-programmers builds.
12119 0x000b7230 0x1400b8030 19   20   .rdata  ascii   (Hold Ctrl to: use
12120 0x000b7248 0x1400b8048 11   12   .rdata  ascii   Item Picker
12121 0x000b7258 0x1400b8058 33   34   .rdata  ascii    to break in item call-stack, or
12122 0x000b7280 0x1400b8080 15   16   .rdata  ascii   (Hold Ctrl to:
12123 0x000b7290 0x1400b8090 65   66   .rdata  ascii   https://github.com/ocornut/imgui/blob/master/docs/FAQ.md#qa-usage
12124 0x000b72d8 0x1400b80d8 32   33   .rdata  ascii   read FAQ "About ID Stack System"
12125 0x000b7300 0x1400b8100 14   15   .rdata  ascii   Enable Asserts
12126 0x000b7310 0x1400b8110 15   16   .rdata  ascii   ##Tooltip_Error
12127 0x000b7320 0x1400b8120 23   24   .rdata  ascii   MESSAGE FROM DEAR IMGUI
12128 0x000b7340 0x1400b8140 152  306  .rdata  utf16le id != window->ID && "Cannot have an empty ID at the root of a window. If you need an empty label, use ## and read the FAQ about how the ID Stack works!"
12129 0x000b7478 0x1400b8278 38   39   .rdata  ascii   Calling PopItemWidth() too many times!
12130 0x000b74a0 0x1400b82a0 47   96   .rdata  utf16le (0) && "Calling PopItemWidth() too many times!"
12131 0x000b7500 0x1400b8300 21   44   .rdata  utf16le g.GroupStack.Size > 0
12132 0x000b7530 0x1400b8330 33   68   .rdata  utf16le group_data.WindowID == window->ID
12133 0x000b7580 0x1400b8380 89   180  .rdata  utf16le (flags & ImGuiScrollFlags_MaskX_) == 0 || ImIsPowerOfTwo(flags & ImGuiScrollFlags_MaskX_)
12134 0x000b7640 0x1400b8440 89   180  .rdata  utf16le (flags & ImGuiScrollFlags_MaskY_) == 0 || ImIsPowerOfTwo(flags & ImGuiScrollFlags_MaskY_)
12135 0x000b7700 0x1400b8500 48   98   .rdata  utf16le center_x_ratio >= 0.0f && center_x_ratio <= 1.0f
12136 0x000b7770 0x1400b8570 48   98   .rdata  utf16le center_y_ratio >= 0.0f && center_y_ratio <= 1.0f
12137 0x000b77d8 0x1400b85d8 23   24   .rdata  ascii   ##Tooltip_DragDrop_%02d
12138 0x000b77f0 0x1400b85f0 14   15   .rdata  ascii   ##Tooltip_%02d
12139 0x000b7800 0x1400b8600 56   114  .rdata  utf16le GetCurrentWindowRead()->Flags & ImGuiWindowFlags_Tooltip
12140 0x000b7878 0x1400b8678 7    16   .rdata  utf16le id == 0
12141 0x000b7888 0x1400b8688 34   35   .rdata  ascii   [popup] OpenPopup("%s" -> 0x%08X)\n
12142 0x000b78b0 0x1400b86b0 28   29   .rdata  ascii   [popup] OpenPopupEx(0x%08X)\n
12143 0x000b78d0 0x1400b86d0 51   104  .rdata  utf16le (popup.Window->Flags & ImGuiWindowFlags_Popup) != 0
12144 0x000b7938 0x1400b8738 6    7    .rdata  ascii   <NULL>
12145 0x000b7940 0x1400b8740 36   37   .rdata  ascii   [popup] ClosePopupsOverWindow("%s")\n
12146 0x000b7968 0x1400b8768 48   49   .rdata  ascii   [popup] ClosePopupToLevel(%d), restore_under=%d\n
12147 0x000b79a0 0x1400b87a0 51   104  .rdata  utf16le remaining >= 0 && remaining < g.OpenPopupStack.Size
12148 0x000b7a08 0x1400b8808 45   46   .rdata  ascii   [popup] - Closing PopupID 0x%08X Window "%s"\n
12149 0x000b7a38 0x1400b8838 35   36   .rdata  ascii   [popup] CloseCurrentPopup %d -> %d\n
